unit_type,phylo_group,broad_family,branch_class,terminal_snp_norm,surname_id,slava_id,region_id,location_id,lat,long
location_terminal,E,non_I2,Founder,E-FGC11450,Кресић,Ђурђевдан,Северна Барања,Липово/Мохач,45.9933836,18.6821079
location_terminal,G,non_I2,Founder,G-Y128480,Поповић,Стевањдан,Мачва,Липолист/Шабац,44.697828,19.501014
location_terminal,R1b,non_I2,Founder,L51,Станисављевић,Ђурђевдан,Мачва,Липолист/Шабац,44.697828,19.501014
location_terminal,G,non_I2,Relic,G-CTS11562,Чепкеновић,Илиндан,Косово,Липљан,42.5213395,21.122598
location_terminal,E,non_I2,Founder,E-Z1057,Босић,Аранђеловдан,Стари Влах,Лис/Лучани,43.8056527,20.1770139
location_terminal,G,non_I2,Relic,G-L91,Јовичић,Ђурђиц,Стари Влах,Лис/Лучани,43.8056527,20.1770139
location_terminal,E,non_I2,Founder,E-BY165837,Шулубурић,Никољдан,Стари Влах,Лиса/Ивањица,43.6514103,20.2292886
location_terminal,I1,non_I2,Founder,FGC22061,Вратоњић,Никољдан,Стари Влах,Лиса/Ивањица,43.6514103,20.2292886
location_terminal,R1a,non_I2,Founder,L1029,Ајдачић,Аранђеловдан,Стари Влах,Лиса/Ивањица,43.6514103,20.2292886
location_terminal,R1a,non_I2,Founder,YP270,Јованчић,Ђурђиц,Стари Влах,Лиса/Ивањица,43.6514103,20.2292886
location_terminal,J2,non_I2,Founder,J-Y155375,Давидовић,Ђурђевдан,Стари Влах,Лисице/Лучани,43.8474485,20.1582242
location_terminal,J2,non_I2,Founder,J-Y22063,Домановић,Аранђеловдан,Стари Влах,Лисице/Лучани,43.8474485,20.1582242
location_terminal,Y3120_shallow_nonPH908,nonPH908_I2,Relic,Y267977,Вујовић,Лучиндан,Стари Влах,Лисице/Лучани,43.8474485,20.1582242
location_terminal,I1,non_I2,Relic,Y4045,Ковачић (Ковач),Митровдан,Крањска,Литија,46.0575677,14.8314192
