target_relic_rate,target_founder_rate,control_relic_rate,control_founder_rate,target_relic_n,target_founder_n,control_relic_n,control_founder_n,target_relic_yes,target_founder_yes,control_relic_yes,control_founder_yes,target_relic_minus_founder,control_relic_minus_founder,did_lift,unit_type,target_name,control_set,feature,feature_type
0.022556390977443608,0,0.05714285714285714,0.11235955056179775,133,445,280,1869,3,0,16,210,0.022556390977443608,-0.05521669341894061,0.07777308439638422,cluster,I2_all,all_non_I2,age_ge_2000,binary
0.34146341463414637,0.1488833746898263,0.35344827586206895,0.3972972972972973,82,403,232,1480,28,60,82,588,0.19258003994432007,-0.04384902143522834,0.23642906137954842,cluster,PH908_primary,non_I2_excl_R1a,other_i2_social,binary
0.6829268292682927,0.5037220843672456,0.7586206896551724,0.8452702702702702,82,403,232,1480,56,203,176,1251,0.1792047449010471,-0.08664958061509787,0.26585432551614496,cluster,PH908_primary,non_I2_excl_R1a,other_i2_near_30km,binary
0.3902439024390244,0.25806451612903225,0.625,0.6391891891891892,82,403,232,1480,32,104,145,946,0.13217938630999215,-0.01418918918918921,0.14636857549918136,cluster,PH908_primary,non_I2_excl_R1a,other_i2_dist_le_20,binary
0.9146341463414634,0.890818858560794,0.9396551724137931,0.9702702702702702,82,403,232,1480,75,359,218,1436,0.023815287780669436,-0.03061509785647709,0.05443038563714653,cluster,PH908_primary,non_I2_excl_R1a,other_i2_dist_le_50,binary
0.2804878048780488,0.08684863523573201,0.30603448275862066,0.3587837837837838,82,403,232,1480,23,35,71,531,0.1936391696423168,-0.05274930102516312,0.24638847066747993,cluster,PH908_primary,non_I2_excl_R1a,other_i2_cloud_social_spatial,binary
0.21951219512195122,0.10918114143920596,0.15517241379310345,0.14391891891891892,82,403,232,1480,18,44,36,213,0.11033105368274526,0.011253494874184533,0.09907755880856073,cluster,PH908_primary,non_I2_excl_R1a,nonph_i2_social,binary
0.6341463414634146,0.4813895781637717,0.49137931034482757,0.5567567567567567,82,403,232,1480,52,194,114,824,0.15275676329964294,-0.06537744641192916,0.2181342097115721,cluster,PH908_primary,non_I2_excl_R1a,nonph_i2_near_30km,binary
0.17073170731707318,0.06699751861042183,0.09913793103448276,0.11351351351351352,82,403,232,1480,14,27,23,168,0.10373418870665135,-0.014375582479030757,0.11810977118568211,cluster,PH908_primary,non_I2_excl_R1a,nonph_i2_cloud_social_spatial,binary
0.8658536585365854,0.7444168734491315,0.7887931034482759,0.8297297297297297,82,403,232,1480,71,300,183,1228,0.12143678508745381,-0.04093662628145378,0.1623734113689076,cluster,PH908_primary,non_I2_excl_R1a,surname_ic,binary
0.5121951219512195,0.3945409429280397,0.5387931034482759,0.4972972972972973,82,403,232,1480,42,159,125,736,0.11765417902317982,0.04149580615097859,0.07615837287220123,cluster,PH908_primary,non_I2_excl_R1a,surname_ovic_evic,binary
0.35365853658536583,0.34987593052109184,0.25,0.3324324324324324,82,403,232,1480,29,141,58,492,0.0037826060642739967,-0.08243243243243242,0.08621503849670642,cluster,PH908_primary,non_I2_excl_R1a,surname_non_ovic_ic,binary
0.5365853658536586,0.4044665012406948,0.5474137931034483,0.5094594594594595,82,403,232,1480,44,163,127,754,0.1321188646129638,0.037954333643988813,0.09416453096897498,cluster,PH908_primary,non_I2_excl_R1a,surname_vic,binary
0,0.0024813895781637717,0.021551724137931036,0.005405405405405406,82,403,232,1480,0,1,5,8,-0.0024813895781637717,0.01614631873252563,-0.0186277083106894,cluster,PH908_primary,non_I2_excl_R1a,surname_ski,binary
0.9390243902439024,0.9851116625310173,0.9051724137931034,0.970945945945946,82,403,232,1480,77,397,210,1437,-0.046087272287114955,-0.06577353215284254,0.019686259865727584,cluster,PH908_primary,non_I2_excl_R1a,slava_informative,binary
0.17073170731707318,0.10669975186104218,0.21551724137931033,0.12162162162162163,82,403,232,1480,14,43,50,180,0.064031955456031,0.0938956197576887,-0.029863664301657697,cluster,PH908_primary,non_I2_excl_R1a,rare_slava_region_2,binary
0.3780487804878049,0.24813895781637718,0.40948275862068967,0.2560810810810811,82,403,232,1480,31,100,95,379,0.1299098226714277,0.1534016775396086,-0.023491854868180895,cluster,PH908_primary,non_I2_excl_R1a,rare_slava_region_5,binary
0.7195121951219512,0.7295285359801489,0.7586206896551724,0.7445945945945946,82,403,232,1480,59,294,176,1102,-0.010016340858197692,0.014026095060577726,-0.024042435918775418,cluster,PH908_primary,non_I2_excl_R1a,rare_surname_region_1,binary
0.8902439024390244,0.8833746898263027,0.9310344827586207,0.9060810810810811,82,403,232,1480,73,356,216,1341,0.006869212612721665,0.024953401677539566,-0.0180841890648179,cluster,PH908_primary,non_I2_excl_R1a,rare_surname_region_2,binary
0.9390243902439024,0.8933002481389578,0.7586206896551724,0.8452702702702702,82,403,232,1480,77,360,176,1251,0.045724142104944576,-0.08664958061509787,0.13237372272004244,cluster,PH908_primary,non_I2_excl_R1a,i2_ecology_near30,binary
0.8414634146341463,0.7096774193548387,0.5431034482758621,0.647972972972973,82,403,232,1480,69,286,126,959,0.13178599527930757,-0.10486952469711086,0.23665551997641843,cluster,PH908_primary,non_I2_excl_R1a,i2_ecology_dense30,binary
0.5853658536585366,0.3970223325062035,0.4482758620689655,0.5331081081081082,82,403,232,1480,48,160,104,789,0.18834352115233305,-0.08483224603914263,0.2731757671914757,cluster,PH908_primary,non_I2_excl_R1a,i2_ecology_diverse30,binary
0.5121951219512195,0.5558312655086849,0.3706896551724138,0.49594594594594593,82,403,232,1480,42,224,86,734,-0.04363614355746537,-0.12525629077353212,0.08162014721606675,cluster,PH908_primary,non_I2_excl_R1a,i2_ecology_terminal_diverse30,binary
0.23170731707317074,0.2903225806451613,0.10775862068965517,0.2668918918918919,82,403,232,1480,19,117,25,395,-0.05861526357199057,-0.15913327120223672,0.10051800763024615,cluster,PH908_primary,non_I2_excl_R1a,i2_ecology_share30_gt50,binary
0.14634146341463414,0.24813895781637718,0.09482758620689655,0.20743243243243242,82,403,232,1480,12,100,22,307,-0.10179749440174304,-0.11260484622553588,0.010807351823792832,cluster,PH908_primary,non_I2_excl_R1a,i2_ecology_share50_gt50,binary
0.4268292682926829,0.41935483870967744,0.25862068965517243,0.35945945945945945,82,403,232,1480,35,169,60,532,0.007474429583005482,-0.10083876980428702,0.1083131993872925,cluster,PH908_primary,non_I2_excl_R1a,i2_ecology_no_r1a30,binary
0.2682926829268293,0.2903225806451613,0.10775862068965517,0.2668918918918919,82,403,232,1480,22,117,25,395,-0.022029897718332025,-0.15913327120223672,0.1371033734839047,cluster,PH908_primary,non_I2_excl_R1a,i2_ecology_i2_over_non_i2_30,binary
0.5121951219512195,0.456575682382134,0.27155172413793105,0.3783783783783784,82,403,232,1480,42,184,63,560,0.05561943956908555,-0.10682665424044735,0.1624460938095329,cluster,PH908_primary,non_I2_excl_R1a,nearest_relic_is_i2,binary
0.14634146341463414,0.2555831265508685,0.08620689655172414,0.1918918918918919,82,403,232,1480,12,103,20,284,-0.10924166313623437,-0.10568499534016776,-0.003556667796066615,cluster,PH908_primary,non_I2_excl_R1a,nearest_i2_and_i2_share30_gt50,binary
